src,dst,sport,dport,proto,length,danger
253755771,3232235876,62786,80,6,54,1
2855105642,3232235876,42429,80,6,54,1
904021968,3232235876,25024,80,6,54,1
1023679993,3232235876,34550,80,6,54,1
599869169,3232235876,22579,80,6,54,1
606722142,3232235876,54477,80,6,54,1
189216788,3232235876,36097,80,6,54,1
3641605627,3232235876,25517,80,6,54,1
2591822005,3232235876,43865,80,6,54,1
1666707272,3232235876,7405,80,6,54,1
2797235141,3232235876,37108,80,6,54,1
527862588,3232235876,9588,80,6,54,1
3496815966,3232235876,33136,80,6,54,1
1076661079,3232235876,20743,80,6,54,1
556402433,3232235876,14352,80,6,54,1
2482199480,3232235876,31615,80,6,54,1
3118636552,3232235876,58033,80,6,54,1
992948756,3232235876,8933,80,6,54,1
828815183,3232235876,2681,80,6,54,1
254374576,3232235876,48169,80,6,54,1
3297637835,3232235876,47994,80,6,54,1
876921519,3232235876,64092,80,6,54,1
3227893111,3232235876,54531,80,6,54,1
1224604251,3232235876,28892,80,6,54,1
1224553350,3232235876,29534,80,6,54,1
1656696601,3232235876,19285,80,6,54,1
4102893805,3232235876,34248,80,6,54,1
3781788071,3232235876,65026,80,6,54,1
2931732018,3232235876,30714,80,6,54,1
2144583062,3232235876,58067,80,6,54,1
2412764175,3232235876,6374,80,6,54,1
2262142291,3232235876,43294,80,6,54,1
3625112391,3232235876,52401,80,6,54,1
2840553516,3232235876,19535,80,6,54,1
2317239604,3232235876,22741,80,6,54,1
3658539777,3232235876,59197,80,6,54,1
3434223898,3232235876,33623,80,6,54,1
1026443288,3232235876,18080,80,6,54,1
